Date,Modal Price (Rs./Quintal),Rel Humidity at 2 Meters (%) ,Precipitation Corrected (mm/day) ,Surface Soil Wetness,Root Zone Soil Wetness,Temperature at 2 Meters,T2M_MAX,T2M_MIN
14-02-2004,1515,29.25,0,0.2,0.47,19.65,29.75,11.49
15-02-2004,1515,21.38,0,0.19,0.47,19.57,30.15,9.69
16-02-2004,1505,18.75,0,0.19,0.47,21.19,31.58,12.72
17-02-2004,1505,23.44,0,0.18,0.47,21.6,33.16,11.48
18-02-2004,1505,22.88,0,0.18,0.47,22.18,32.45,13.8
19-02-2004,1520,25.88,0,0.17,0.47,21.8,31.44,12.9
20-02-2004,1500,19.31,0,0.17,0.47,21.27,31.44,12.83
21-02-2004,1475,18.44,0,0.17,0.47,23.37,32.98,13.81
22-02-2004,1475,19.25,0,0.16,0.47,22.88,32.91,14.69
23-02-2004,1585,22.62,0,0.16,0.47,22.49,33.35,13.15
24-02-2004,1580,18.06,0,0.16,0.47,23.32,33.92,13.47
25-02-2004,1520,15.38,0,0.16,0.47,25.17,35.28,16.79
26-02-2004,1510,15.12,0,0.16,0.47,25.73,35.77,17.19
27-02-2004,1570,18.44,0,0.15,0.47,24.95,35.69,15.9
28-02-2004,1520,18.38,0,0.15,0.47,24.25,34.27,15.43
29-02-2004,1520,18.69,0,0.15,0.47,23.11,33.15,13.94
01-03-2004,1525,17.5,0,0.14,0.47,23.1,33.1,13.16
02-03-2004,1525,13.88,0,0.14,0.47,22.56,33.88,12.42
03-03-2004,1520,11.56,0,0.14,0.47,23.35,34.35,13.15
04-03-2004,1530,11.38,0,0.14,0.47,23.55,33.99,13.44
05-03-2004,1515,10.31,0,0.13,0.47,24.69,35.02,15.41
06-03-2004,1515,14,0,0.13,0.47,24.51,34.9,16.14
07-03-2004,1515,11.5,0,0.13,0.47,24.73,35.26,16.02
08-03-2004,1530,9.69,0,0.13,0.47,25.83,36.13,18.19
09-03-2004,1530,21.81,0,0.12,0.47,23.45,34.92,13.01
10-03-2004,1580,21.69,0,0.12,0.47,25.39,36.01,15.29
11-03-2004,1555,16.94,0,0.12,0.47,27.48,37.53,19.13
12-03-2004,1560,16.94,0,0.12,0.47,27.3,37.08,16.3
13-03-2004,1560,13.56,0,0.12,0.47,28.99,39.59,19.57
14-03-2004,1560,13.69,0,0.12,0.47,28.4,39.23,18.17
15-03-2004,1565,14.88,0,0.12,0.47,28.67,38.62,18.06
16-03-2004,1575,12.31,0,0.12,0.47,30.15,41.08,21.34
17-03-2004,1625,11.94,0,0.12,0.47,29.33,40.86,19.03
18-03-2004,1635,11,0,0.12,0.47,29.02,40.49,18.38
19-03-2004,1645,11.88,0,0.11,0.47,29.89,39.98,20.37
20-03-2004,1645,16.44,0,0.11,0.47,29.59,40.08,19.05
21-03-2004,1645,13.62,0,0.11,0.47,31.05,40.83,22.87
22-03-2004,1645,15.44,0,0.11,0.47,30.98,40.86,22.05
23-03-2004,1665,18.75,0,0.11,0.47,30.64,40.19,20.84
24-03-2004,1710,17.44,0,0.11,0.47,29.18,37.89,20.3
25-03-2004,1700,11.12,0,0.1,0.47,27.43,37.69,17.74
26-03-2004,1685,11.75,0,0.1,0.47,26.05,36.44,16.04
27-03-2004,1725,10.56,0,0.1,0.47,26.1,35.9,17.11
28-03-2004,1725,12.88,0,0.1,0.47,26.94,37.08,17.12
29-03-2004,1680,11.62,0,0.1,0.47,28.29,37.76,19.26
30-03-2004,1680,9.81,0,0.1,0.47,28.6,38.42,20.06
31-03-2004,1675,9,0,0.1,0.47,29.99,38.65,20.99
01-04-2004,1675,14.81,0,0.1,0.47,30.01,38.37,21.65
02-04-2004,1670,23.69,0,0.1,0.47,29.99,39.09,21.33
03-04-2004,1670,22.56,0,0.09,0.47,30.44,39.28,21.32
04-04-2004,1670,18.69,0,0.09,0.47,31.77,39.94,23.03
05-04-2004,1675,21,0,0.09,0.47,31.95,40.04,23.07
06-04-2004,1675,18.38,0,0.09,0.47,31.87,40.1,23.32
07-04-2004,1675,17.25,0,0.09,0.47,31.59,40.08,22.22
08-04-2004,1695,25.19,0,0.09,0.47,31.84,39.3,23.75
09-04-2004,1690,22.81,0,0.09,0.47,32.78,40.19,25.7
10-04-2004,1710,20.06,0,0.09,0.47,32.26,40.53,23.98
11-04-2004,1710,19.12,0,0.09,0.47,32.9,41.95,23.87
12-04-2004,1680,18.94,0,0.09,0.47,33.14,41.88,24.37
13-04-2004,1720,16.56,0,0.09,0.47,32.9,41.69,24.01
14-04-2004,1695,17.5,0,0.09,0.47,33.7,42.61,24.95
15-04-2004,1690,18.25,0,0.09,0.47,34.26,43.44,25.08
16-04-2004,1660,20.38,0,0.09,0.47,33.99,42.94,25.75
17-04-2004,1660,20.44,0,0.09,0.47,32.74,40.24,25.71
18-04-2004,1660,19.75,0,0.09,0.47,31.97,39.97,25.24
19-04-2004,1660,20,0,0.09,0.47,31.46,39.74,22.25
20-04-2004,1615,20.62,0,0.09,0.47,33.44,41.08,26.22
21-04-2004,1615,16.94,0,0.09,0.47,33.48,41.46,25.92
22-04-2004,1615,15.88,0.09,0.09,0.47,32.57,40.8,24.57
23-04-2004,1615,20.19,0.06,0.09,0.47,32.12,39.44,23.83
24-04-2004,1630,15.62,0,0.09,0.47,31.46,39.52,23.4
25-04-2004,1630,17.31,0,0.09,0.47,30.93,39.62,21.53
26-04-2004,1630,19.19,0,0.09,0.47,32.24,40.98,23.09
27-04-2004,1615,16.81,0,0.09,0.47,33.75,42.78,23.86
28-04-2004,1615,17.06,0,0.09,0.47,33.89,42.92,24.29
29-04-2004,1630,19.75,0,0.09,0.47,33.85,41.98,25.54
30-04-2004,1635,26.12,0.09,0.09,0.47,32.76,39.58,25.68
01-05-2004,1645,14.31,0.67,0.12,0.47,28.34,36.85,19.12
02-05-2004,1645,17.75,0,0.12,0.47,29,37.74,20.08
03-05-2004,1640,13.94,0,0.11,0.47,30.62,40.06,20.44
04-05-2004,1720,11.38,0,0.11,0.47,32.81,42.7,22.86
05-05-2004,1720,13.38,0,0.11,0.47,33.44,42.63,24.11
06-05-2004,1725,15.12,0,0.11,0.47,33.8,43.23,24.1
07-05-2004,1735,18.25,0,0.1,0.47,34.99,42.51,25.51
08-05-2004,1705,35.19,0.2,0.11,0.47,34.98,39.48,30.14
09-05-2004,1705,42.81,0.02,0.11,0.47,31.45,35.23,26.28
10-05-2004,1710,21.62,0.03,0.11,0.47,35.05,42.55,27.17
11-05-2004,1725,28.5,0.2,0.11,0.47,35.42,41.79,28.73
12-05-2004,1725,39.06,2.04,0.15,0.47,34.43,40.55,28.47
13-05-2004,1705,51.62,3.91,0.27,0.48,32.17,37.88,29
14-05-2004,1710,44.56,0.06,0.33,0.48,33.73,40.05,26.93
15-05-2004,1705,35.62,0,0.28,0.48,34.47,40.65,28.12
16-05-2004,1705,31.38,0,0.26,0.48,35.15,41.98,28.15
17-05-2004,1700,22,0,0.23,0.48,36.12,42.99,29
18-05-2004,1630,16.25,0,0.21,0.48,35.99,43.45,28.63
19-05-2004,1635,19.12,0,0.2,0.47,34.97,42.74,26.53
20-05-2004,1645,33.5,0,0.19,0.47,33.85,42.3,25.02
21-05-2004,1645,31.44,0,0.18,0.47,34.11,42.28,26.51
22-05-2004,1710,31.25,0,0.17,0.47,33.98,41.62,26.28
23-05-2004,1710,35.5,0,0.17,0.47,34.46,41.25,26.79
24-05-2004,1715,35.44,0,0.16,0.47,34.3,41.44,27.15
25-05-2004,1715,30.56,0,0.16,0.47,35.02,41.7,28.01
26-05-2004,1745,31.38,0.25,0.16,0.47,34.69,40.97,27.37
27-05-2004,1735,26.12,0.01,0.16,0.47,35.72,42.95,28.27
28-05-2004,1745,20.62,0,0.16,0.47,36.2,43.54,28.51
29-05-2004,1740,21,0,0.15,0.47,35.78,43.74,28.15
30-05-2004,1740,17.62,0,0.15,0.47,36.33,43.82,28.12
31-05-2004,1725,15.75,0,0.14,0.47,37.38,45.03,28.9
01-06-2004,1700,18.75,0,0.13,0.47,37.4,44.86,29.14
02-06-2004,1690,21,0,0.13,0.47,37.46,44.26,29.65
03-06-2004,1695,16.69,0,0.12,0.47,37.37,44.24,30.44
04-06-2004,1690,21.06,0,0.12,0.47,36.91,44.43,29.22
05-06-2004,1680,22.75,0,0.12,0.47,36.97,44.05,29.47
06-06-2004,1680,23.5,0.09,0.12,0.47,37.23,44.23,29.67
07-06-2004,1685,24.44,0.05,0.12,0.47,37.04,43.81,29.51
08-06-2004,1600,32.88,1.46,0.15,0.47,35.8,41.23,29.76
09-06-2004,1605,41.06,11.33,0.37,0.48,33.3,37.08,30.07
10-06-2004,1545,46.81,0.12,0.45,0.49,32.94,37.39,28.29
11-06-2004,1600,42.31,0.06,0.39,0.48,34.33,39.73,28.2
12-06-2004,1600,36.69,0.02,0.34,0.48,35.58,41.56,28.9
13-06-2004,1600,33.56,0.01,0.29,0.48,36.14,41.49,30.88
14-06-2004,1600,40.44,4.48,0.34,0.48,34.61,39.46,30.3
15-06-2004,1610,52.56,3.43,0.43,0.48,32.26,37.44,27.78
16-06-2004,1630,56.56,5.63,0.48,0.49,32.37,38.65,27.09
17-06-2004,1620,55.75,1.7,0.46,0.49,32.86,38.65,27.68
18-06-2004,1625,53.19,1.77,0.42,0.49,33.05,38.65,28.14
19-06-2004,1620,51.38,0.06,0.38,0.48,32.91,40.08,25.93
20-06-2004,1620,52,0,0.35,0.48,32.6,38.68,26.22
21-06-2004,1610,47.25,0,0.33,0.48,33.37,40.23,26.47
22-06-2004,1630,46.44,0,0.3,0.48,33.05,38.95,26.51
23-06-2004,1630,45.44,0,0.29,0.48,32.83,38.87,26.78
24-06-2004,1620,47.38,0,0.27,0.48,32.87,38.94,26.8
25-06-2004,1580,45.94,0.02,0.27,0.48,32.98,38.87,27.05
26-06-2004,1600,44.75,1.95,0.28,0.48,34.01,40.36,27.65
27-06-2004,1600,49.88,6.5,0.42,0.48,32.91,37.58,28.44
28-06-2004,1650,51.38,2.51,0.44,0.48,32.72,38.23,27.45
29-06-2004,1650,52.5,2.46,0.45,0.48,32.51,38.19,26.78
30-06-2004,1650,47.88,0,0.38,0.48,33.85,39.94,27.47
01-07-2004,1650,46.81,2.16,0.37,0.48,34.11,40.06,28.3
02-07-2004,1666,48.75,0.12,0.36,0.48,33.38,38.07,28.39
03-07-2004,1640,49.44,6.86,0.44,0.48,33.79,39.44,27.78
04-07-2004,1640,64.31,7.91,0.54,0.49,30.5,35.18,27.13
05-07-2004,1670,64.19,2.29,0.51,0.5,30.36,34.62,26.88
06-07-2004,1670,61.94,2.33,0.49,0.5,31.06,36.07,26.69
07-07-2004,1670,70.44,2.08,0.49,0.5,29.41,33.25,26.91
08-07-2004,1650,66.25,0.3,0.47,0.5,29.55,34.69,26.09
09-07-2004,1700,58.69,0,0.45,0.49,30.76,36.66,25.55
10-07-2004,1705,56.56,0.07,0.42,0.49,30.79,36.33,25.91
11-07-2004,1705,51.44,0,0.4,0.48,31.92,38.25,25.66
12-07-2004,1650,47.75,0,0.37,0.48,33.05,39.02,26.62
13-07-2004,1640,42.5,0,0.34,0.48,33.85,40.33,27.22
14-07-2004,1650,43.19,0,0.31,0.48,34.06,39.44,28.08
15-07-2004,1700,39.81,0.1,0.3,0.48,34.99,40.99,28.8
16-07-2004,1700,57.81,21.76,0.48,0.49,32.02,38.05,26.29
17-07-2004,1705,71.75,15.91,0.63,0.53,29.55,34.27,25.67
18-07-2004,1705,66.94,10.81,0.59,0.55,29.78,34.55,25.76
19-07-2004,1710,63.94,2.52,0.53,0.55,30.11,35.59,24.84
20-07-2004,1725,61.12,0.5,0.5,0.54,30.75,36.4,25.47
21-07-2004,1750,57,0.03,0.48,0.53,31.42,37.86,25.53
22-07-2004,1765,50.5,0,0.48,0.52,31.85,38.63,25.29
23-07-2004,1760,50.94,0.01,0.47,0.52,31.92,37.87,24.84
24-07-2004,1800,53.12,0.41,0.48,0.52,32.2,38.55,26.55
25-07-2004,1800,57.75,0.44,0.48,0.51,31.73,37.43,27.37
26-07-2004,1800,63.62,3,0.5,0.51,30.12,34.15,26.63
27-07-2004,1795,63.81,2.84,0.52,0.52,29.9,34.53,25.72
28-07-2004,1800,66.12,1.59,0.49,0.52,29.98,34.68,26.18
29-07-2004,1800,78.62,3.72,0.52,0.52,27.69,30.42,25.81
30-07-2004,1750,77.06,41.74,0.68,0.55,28.8,32.93,25.05
31-07-2004,1730,79.5,21.18,0.7,0.61,28.35,32.28,25.57
01-08-2004,1730,81.69,13.05,0.7,0.62,27.57,31.37,25.01
02-08-2004,1705,83.75,6.34,0.65,0.62,26.76,30.37,24.39
03-08-2004,1645,82.12,5.45,0.65,0.62,27.49,31.52,24.32
04-08-2004,1675,77.88,0.31,0.61,0.61,28.98,33.05,25.27
05-08-2004,1725,72.56,0.92,0.59,0.6,29.44,33.73,25.66
06-08-2004,1745,84.69,28.23,0.72,0.62,27.9,30.43,25.27
07-08-2004,1735,83.81,24.73,0.78,0.67,28.64,32.99,25.44
08-08-2004,1735,84.5,3.74,0.7,0.66,28.32,31.9,25.89
09-08-2004,1710,87.38,16.64,0.75,0.66,26.56,28.73,24.9
10-08-2004,1720,88.81,24.16,0.81,0.7,26.54,29.44,24.42
11-08-2004,1800,88.06,10.27,0.78,0.71,26.69,30.69,24.17
12-08-2004,1750,87.75,21.17,0.8,0.72,27.23,30.71,24.82
13-08-2004,1800,87.94,11.03,0.8,0.73,26.72,29.76,24.87
14-08-2004,1795,88.5,7.29,0.79,0.73,26.68,30.04,24.29
15-08-2004,1795,90.81,67.68,0.88,0.77,26.29,28.81,24.64
16-08-2004,1795,93.69,61.87,0.92,0.83,25.79,27.89,23.94
17-08-2004,1825,89.69,15.42,0.88,0.85,26.76,30.14,24.51
18-08-2004,1865,91.69,18.84,0.88,0.85,25.7,27.9,24.22
19-08-2004,1825,85.56,3.56,0.86,0.85,26.75,30.18,23.8
20-08-2004,1815,84.19,0.6,0.84,0.84,27.42,30.69,24.06
21-08-2004,1750,82.88,2.04,0.84,0.84,27.8,31.55,24.54
22-08-2004,1750,86.44,16.11,0.87,0.84,26.63,29.69,23.87
23-08-2004,1705,92.44,20.73,0.89,0.85,25.6,27.39,24.18
24-08-2004,1730,91.38,27.43,0.91,0.88,25.81,28.32,23.98
25-08-2004,1780,86.81,2.72,0.87,0.88,26.65,30.46,23.98
26-08-2004,1750,85.38,0,0.85,0.87,26.17,30.58,23.22
27-08-2004,1775,85.31,0,0.85,0.85,25.51,29.58,22.3
28-08-2004,1775,84.25,0,0.84,0.84,25.89,30.6,22.52
29-08-2004,1775,83.94,0,0.84,0.84,26.05,30.55,22.41
30-08-2004,1775,83.38,0,0.83,0.83,26.13,31.01,22.28
31-08-2004,1795,83.38,0,0.81,0.82,25.58,30.15,22.03
01-09-2004,1790,81.12,0,0.81,0.8,25.75,30.79,21.13
02-09-2004,1795,75.25,0,0.8,0.8,26.61,31.17,21.18
03-09-2004,1750,77.56,0.2,0.8,0.79,26.76,31.65,22.08
04-09-2004,1755,75.44,0.76,0.79,0.78,27.26,32.02,21.79
05-09-2004,1755,70.94,0,0.79,0.77,27.88,32.62,22.33
06-09-2004,1785,73.81,0,0.77,0.77,27.48,32.36,21.95
07-09-2004,1720,71.19,0,0.77,0.76,27.9,33.11,22.32
08-09-2004,1720,75.31,0,0.76,0.74,27.26,33.11,22.59
09-09-2004,1740,79.81,0,0.75,0.73,27.26,32.58,22.77
10-09-2004,1755,81.69,0.02,0.74,0.73,26.37,31.23,22.72
11-09-2004,1755,81.62,0.01,0.73,0.72,25.89,30.76,21.51
12-09-2004,1755,80.31,0,0.73,0.71,26.01,30.65,21.47
13-09-2004,1770,81.31,0.33,0.73,0.7,26.26,29.59,22.99
14-09-2004,1800,82.56,2.21,0.73,0.7,26.57,30.3,23.12
15-09-2004,1795,81.44,0.49,0.72,0.7,26.57,31.29,22.7
16-09-2004,1785,78.38,1.38,0.72,0.69,26.52,30.85,21.99
17-09-2004,1785,77.25,0.89,0.71,0.69,27.26,31.46,22.61
18-09-2004,1785,76.31,8.85,0.73,0.69,27.57,31.76,22.93
19-09-2004,1785,76.94,0.06,0.7,0.69,27.4,32.01,22.92
20-09-2004,1785,73.88,1.05,0.7,0.68,27.44,31.74,24.69
21-09-2004,1785,79.69,1.76,0.7,0.67,26.38,31.18,22.06
22-09-2004,1785,78.38,0.63,0.68,0.66,26.77,31.29,22.87
23-09-2004,1785,74.12,0.23,0.67,0.66,27.04,31.97,22.74
24-09-2004,1785,68.38,0.01,0.66,0.65,27.25,32.85,22.7
25-09-2004,1785,75,0.23,0.65,0.64,27.11,32.24,22.56
26-09-2004,1785,75.19,0.02,0.64,0.63,27.42,32.51,23.17
27-09-2004,1785,66.12,0,0.63,0.63,27.94,34.17,22.4
28-09-2004,1450,66.81,0,0.62,0.62,28.24,34.57,22.14
29-09-2004,1350,71.25,11.9,0.66,0.62,28.27,33.13,23.23
30-09-2004,1215,77.81,0.38,0.66,0.63,26.74,30.02,24.06
01-10-2004,1215,76.06,2.69,0.65,0.63,26.75,31.29,22.59
02-10-2004,1215,76.44,10.72,0.68,0.63,26.65,31.21,22.59
03-10-2004,1215,78.19,4.48,0.7,0.65,26.53,30.98,22.4
04-10-2004,1175,75.5,1.16,0.66,0.64,26.96,30.81,23.31
05-10-2004,1180,75.94,0.51,0.64,0.63,27.08,31.25,23.33
06-10-2004,1175,67.69,0.12,0.62,0.62,27.47,32.01,23.5
07-10-2004,1175,54.69,0,0.61,0.62,26.9,33.12,20.16
08-10-2004,1175,59.69,0,0.59,0.61,25.93,33.26,18.44
09-10-2004,1180,72.75,0.25,0.59,0.6,26.37,31.93,21.34
10-10-2004,1180,82.69,4.81,0.62,0.6,25.58,29.04,22.39
11-10-2004,1175,76,2.06,0.62,0.61,24.15,28.62,20.63
12-10-2004,1180,60.25,0.01,0.59,0.6,22.55,30.03,17.28
13-10-2004,1150,61.06,0.02,0.58,0.6,21.81,28.78,15.86
14-10-2004,1150,61.31,0.06,0.58,0.59,22.7,30.19,17.08
15-10-2004,1045,56.31,0,0.57,0.59,22.63,30.12,16.72
16-10-2004,1065,54.75,0,0.56,0.59,22.7,31.03,15.23
17-10-2004,1065,56.94,0,0.55,0.58,22.82,31.63,15.28
18-10-2004,1120,55.31,0,0.55,0.58,23.46,32.09,16.6
19-10-2004,1130,53.5,0,0.54,0.57,24.21,32.8,17.51
20-10-2004,1120,53.94,0,0.54,0.57,24.29,32.11,18.56
21-10-2004,1120,56.62,0,0.53,0.56,24.09,32.35,17.35
22-10-2004,1120,56.94,0,0.53,0.56,24.14,32.19,17.6
23-10-2004,1135,52.12,0,0.52,0.56,24.26,32.07,16.94
24-10-2004,1135,51.06,0,0.52,0.55,24.16,32.05,17.3
25-10-2004,1125,48.38,0,0.52,0.55,23.76,31.8,19.05
26-10-2004,1120,46.75,0,0.52,0.55,22.59,31.46,16.3
27-10-2004,1110,49.94,0,0.52,0.55,23.08,31,16.93
28-10-2004,1125,50.12,0,0.52,0.55,24.08,30.76,18.03
29-10-2004,1140,53,0.11,0.51,0.55,22.76,30.4,17.34
30-10-2004,1130,61.75,0,0.51,0.54,21.96,30.33,15.25
31-10-2004,1130,54.25,0,0.51,0.54,21.9,30.52,15.58
01-11-2004,1150,50,0,0.5,0.54,22.49,31.25,14.55
02-11-2004,1130,51.25,0,0.5,0.53,23.22,31.3,17.74
03-11-2004,1145,49.81,0,0.5,0.53,21.44,30.75,14.87
04-11-2004,1130,36,0,0.49,0.53,20.9,28.61,14.76
05-11-2004,1140,37,0,0.49,0.52,20.88,29.35,13.33
06-11-2004,1145,43.56,0,0.48,0.52,20.01,28.8,12.37
07-11-2004,1145,43.38,0,0.48,0.52,20.9,29.48,14.94
08-11-2004,1150,42.19,0,0.48,0.52,20.22,29.11,13.91
09-11-2004,1155,40.38,0,0.46,0.52,19.75,29.52,13.09
10-11-2004,1155,41.5,0,0.45,0.52,20.04,30.07,11.86
11-11-2004,1155,51.31,0.76,0.45,0.52,21.56,31.18,13.88
12-11-2004,1155,58.12,0,0.45,0.52,22.5,30.93,15.65
13-11-2004,1155,60.88,0,0.43,0.52,22.39,31.35,15.64
14-11-2004,1155,41.94,0,0.42,0.51,23.19,31.33,15.72
15-11-2004,1150,34.5,0,0.41,0.51,24.08,32.47,17.94
16-11-2004,1165,33.25,0,0.4,0.51,23.51,31.44,18.08
17-11-2004,1175,36.5,0,0.39,0.51,23.05,31.07,15.73
18-11-2004,1220,34.5,0,0.38,0.51,23.8,31.5,17.97
19-11-2004,1255,32.94,0,0.37,0.51,23.74,32.16,16.96
20-11-2004,1240,34.75,0,0.36,0.5,23.18,32.22,16.07
21-11-2004,1240,39.88,0,0.35,0.5,22.4,32.54,14.58
22-11-2004,1240,37.88,0,0.34,0.5,22.77,32.68,14.33
23-11-2004,1285,35,0,0.34,0.5,23.22,32.24,15.78
24-11-2004,1285,34.06,0,0.34,0.5,22.8,31.5,14.05
25-11-2004,1270,36.06,0,0.33,0.5,23.15,31.47,17.08
26-11-2004,1270,39.19,0.02,0.33,0.5,22.82,30.64,16.93
27-11-2004,1295,43.38,0,0.32,0.5,22.23,30.84,16.05
28-11-2004,1295,49.81,0,0.32,0.49,20.11,28.87,14
29-11-2004,1305,46.25,0,0.32,0.49,19.26,28.23,12.3
30-11-2004,1290,39.31,0,0.31,0.49,19.89,28.65,12.72
01-12-2004,1270,36,0,0.31,0.49,20.56,28.87,13.02
02-12-2004,1250,36.44,0,0.3,0.49,20.55,28.92,14.36
03-12-2004,1230,39.94,0,0.3,0.49,20.65,28.96,13.51
04-12-2004,1240,39.25,0,0.3,0.49,21.02,28.17,15.74
05-12-2004,1240,41.19,0,0.3,0.49,20.23,29.01,13.26
06-12-2004,1265,36.19,0,0.3,0.49,19.66,29.33,11.78
07-12-2004,1265,33.75,0,0.29,0.49,19.98,29.45,14.09
08-12-2004,1270,35.75,0,0.29,0.49,18.96,27.18,12.94
09-12-2004,1255,31.5,0,0.28,0.48,19.37,27.51,14.14
10-12-2004,1230,28,0,0.28,0.48,18.11,24.24,14.26
11-12-2004,1245,28.69,0,0.28,0.48,18.9,28.23,13.05
12-12-2004,1245,35.5,0,0.27,0.48,17.48,26.4,12.49
13-12-2004,1255,42.25,0,0.27,0.48,18.04,27.68,11.38
14-12-2004,1255,34.12,0,0.27,0.48,20.11,28.71,12.61
15-12-2004,1250,25.5,0,0.27,0.48,19.65,30.01,13.05
16-12-2004,1225,28.38,0,0.27,0.48,19.95,29.8,12.48
17-12-2004,1215,27,0,0.27,0.48,19.7,29.49,13.47
18-12-2004,1210,25.5,0,0.26,0.48,20.43,29.26,13.94
19-12-2004,1210,33.25,0,0.26,0.48,18.37,29.52,9.73
20-12-2004,1210,50.19,0,0.26,0.48,17.6,25.11,12.39
21-12-2004,1210,34.44,0,0.26,0.48,15.8,25.26,7.63
22-12-2004,1212,35.31,0,0.26,0.48,17.41,26.89,10.82
23-12-2004,1210,36.94,0,0.25,0.48,16.44,25.38,9.4
24-12-2004,1215,53.19,0,0.26,0.48,15.84,24.75,8.3
25-12-2004,1210,44,0,0.25,0.48,14.99,23.44,8.35
26-12-2004,1210,33.12,0,0.25,0.48,14.06,23.05,5.95
27-12-2004,1222,24.5,0,0.25,0.48,15.55,25.9,7.58
28-12-2004,1235,34.25,0,0.24,0.48,16.85,27.45,7.94
29-12-2004,1225,42.25,0,0.25,0.48,18.76,26.73,11.76
30-12-2004,1225,42.5,0.01,0.25,0.48,18.36,23.39,14.45
31-12-2004,1235,54.81,0.04,0.25,0.48,19.3,25.5,14.58
01-01-2005,1235,54,0,0.24,0.48,16.98,25.39,10.32
02-01-2005,1235,33.5,0,0.24,0.48,16.06,24.48,8.88
03-01-2005,1220,32.94,0,0.24,0.48,14.87,24.48,7.13
04-01-2005,1200,41.56,0,0.23,0.48,13.73,23.55,5.58
05-01-2005,1195,35.94,0,0.23,0.48,15.44,25.94,7.97
06-01-2005,1200,39.25,0,0.23,0.48,14.59,23.74,7.63
07-01-2005,1205,40.19,0,0.23,0.48,14.33,23.62,6.29
08-01-2005,1220,35.69,0,0.23,0.48,15.54,25.18,6.44
09-01-2005,1220,26.75,0,0.23,0.48,18.33,26.63,10.51
10-01-2005,1220,36.81,0,0.23,0.48,16.12,25.08,8.96
11-01-2005,1220,38.88,0,0.22,0.48,14.3,22.8,6.71
